,How important is it to you that ads help you find products you are interested in?,Do you think this ad technology can reliably help you find products you are interested in?,ad_type,val,Imp-Eff Grp
0,1,1,new,0.12578616352201258,11
1,1,1,old,0.12162162162162163,11
2,1,2,new,0.0440251572327044,12
3,1,2,old,0.04054054054054054,12
4,1,3,new,0.06918238993710692,13
5,1,3,old,0.06756756756756757,13
6,1,4,new,0.025157232704402517,14
7,1,5,new,0.006289308176100629,15
8,2,1,new,0.018867924528301886,21
9,2,1,old,0.013513513513513514,21
10,2,2,new,0.050314465408805034,22
11,2,2,old,0.10810810810810811,22
12,2,3,new,0.08176100628930817,23
13,2,3,old,0.08108108108108109,23
14,2,4,new,0.031446540880503145,24
15,2,5,new,0.018867924528301886,25
16,3,1,new,0.012578616352201259,31
17,3,1,old,0.02702702702702703,31
18,3,2,new,0.03773584905660377,32
19,3,2,old,0.06756756756756757,32
20,3,3,new,0.09433962264150944,33
21,3,3,old,0.14864864864864866,33
22,3,4,new,0.09433962264150944,34
23,3,4,old,0.04054054054054054,34
24,3,5,new,0.018867924528301886,35
25,3,5,old,0.04054054054054054,35
26,4,1,new,0.031446540880503145,41
27,4,2,new,0.031446540880503145,42
28,4,2,old,0.04054054054054054,42
29,4,3,new,0.08176100628930817,43
30,4,3,old,0.02702702702702703,43
31,4,4,new,0.031446540880503145,44
32,4,4,old,0.04054054054054054,44
33,4,5,new,0.012578616352201259,45
34,4,5,old,0.04054054054054054,45
35,5,1,new,0.012578616352201259,51
36,5,2,new,0.006289308176100629,52
37,5,2,old,0.02702702702702703,52
38,5,3,new,0.018867924528301886,53
39,5,3,old,0.04054054054054054,53
40,5,4,new,0.006289308176100629,54
41,5,5,new,0.03773584905660377,55
42,5,5,old,0.02702702702702703,55
