,How important is it to you that ads help you find products you are interested in?,Did the ad you saw help you find a product you are interested in?,ad_type,val,Imp-Eff Grp
0,1,1,new,0.45454545454545453,11
1,1,1,old,0.17567567567567569,11
2,1,2,new,0.03896103896103896,12
3,1,2,old,0.02702702702702703,12
4,1,3,new,0.03896103896103896,13
5,1,3,old,0.02702702702702703,13
6,1,4,new,0.025974025974025976,14
7,2,1,new,0.22077922077922077,21
8,2,1,old,0.10810810810810811,21
9,2,2,new,0.05194805194805195,22
10,2,2,old,0.0945945945945946,22
11,2,3,new,0.1038961038961039,23
12,2,4,new,0.012987012987012988,24
13,2,5,new,0.025974025974025976,25
14,3,1,new,0.18181818181818182,31
15,3,1,old,0.17567567567567569,31
16,3,2,new,0.1038961038961039,32
17,3,2,old,0.02702702702702703,32
18,3,3,new,0.15584415584415584,33
19,3,3,old,0.04054054054054054,33
20,3,4,new,0.07792207792207792,34
21,3,4,old,0.06756756756756757,34
22,3,5,new,0.012987012987012988,35
23,3,5,old,0.013513513513513514,35
24,4,1,new,0.1038961038961039,41
25,4,1,old,0.02702702702702703,41
26,4,2,new,0.05194805194805195,42
27,4,2,old,0.02702702702702703,42
28,4,3,new,0.14285714285714285,43
29,4,3,old,0.06756756756756757,43
30,4,4,new,0.06493506493506493,44
31,4,4,old,0.02702702702702703,44
32,4,5,new,0.025974025974025976,45
33,5,1,new,0.05194805194805195,51
34,5,1,old,0.02702702702702703,51
35,5,2,new,0.012987012987012988,52
36,5,3,new,0.025974025974025976,53
37,5,3,old,0.04054054054054054,53
38,5,4,new,0.03896103896103896,54
39,5,4,old,0.013513513513513514,54
40,5,5,new,0.03896103896103896,55
41,5,5,old,0.013513513513513514,55
