,date,ad,ad_type,primed,browser_size,dist,Air Travel,Eyewear,Food and Drinks,Headphones,Men's Fashion,None of the above,None of these products,Soda,TV Shows,Women's Fashion,Do you use ad blocking software on your computer?,How relevant was the ad to you?,Do you generally find that ads are relevant to you?,How important is it to you that ads help you find products you are interested in?,Did the ad you saw help you find a product you are interested in?,Do you think this ad technology can reliably help you find products you are interested in?,Do you have a smart phone?,How often do you make purchases using your mobile phone?,How often do you make purchases using your computer?,What is your age?,What is your gender?,What type of environment do you most identify with?
4649310150983680,2017-02-13 20:52:25.05331 UTC,Air Travel,old,True,"1280,726",3163.7447232824043,True,False,False,False,False,False,False,False,False,False,Yes,3,2,1,2,1,Yes,Never,Often (monthly),25-30 years old,Male,Urban
4654283186241536,2017-02-15 11:28:03.69447 UTC,Food and Drinks,old,True,"1680,920",1174.3454729279847,False,False,True,False,False,False,False,False,True,False,No,3,3,4,1,2,Yes,Sometimes (every 2-3 months),Sometimes (every 2-3 months),31-40 years old,Male,Urban
4664229256757248,2017-02-14 14:15:50.19995 UTC,Food and Drinks,new,True,"414,628",0.0,True,False,True,False,False,False,False,False,True,False,Yes,2,3,2,1,2,Yes,Very often (weekly),Sometimes (every 2-3 months),25-30 years old,Male,Urban
4679086353940480,2017-02-16 20:46:40.06974 UTC,Food and Drinks,new,True,"1536,760",5283.029229653765,True,False,True,False,False,False,False,False,True,False,Yes,1,3,4,1,5,Yes,Very often (weekly),Very often (weekly),25-30 years old,Female,Rural
4687586899525632,2017-02-13 20:55:45.72424 UTC,Air Travel,new,False,"375,559",0.0,True,False,True,False,False,False,False,False,False,False,Yes,3,2,4,3,2,Yes,Very often (weekly),Very often (weekly),31-40 years old,Male,Urban
4690910667341824,2017-02-14 20:25:36.24748 UTC,Food and Drinks,old,True,"1366,676",743.0977168080329,False,False,True,False,False,False,False,False,True,False,No,1,3,3,1,3,Yes,Never,Often (monthly),31-40 years old,Female,Urban
4729000584806400,2017-02-14 14:42:56.65601 UTC,TV Shows,new,True,"1280,872",2441.500779707655,False,False,True,False,False,False,False,False,True,False,Yes,3,3,2,2,3,Yes,Never,Very often (weekly),31-40 years old,Female,Urban
4744919612653568,2017-02-14 03:27:28.99536 UTC,Air Travel,old,False,"1280,703",2555.0472099264775,True,False,True,False,False,False,False,False,True,False,Yes,3,3,5,3,3,Yes,Often (monthly),Often (monthly),18-24 years old,Male,Urban
4785074604081152,2017-02-13 20:04:36.45358 UTC,Air Travel,new,False,"1366,650",2329.6074176275533,True,False,True,False,False,False,False,False,False,False,Yes,2,2,1,1,1,Yes,Often (monthly),Often (monthly),31-40 years old,Male,Urban
4787561121710080,2017-02-13 19:58:18.85169 UTC,Air Travel,new,True,"1280,592",1188.9034930939085,True,False,True,False,False,False,False,False,True,False,No,2,2,1,4,4,Yes,Rarely (less than twice a year),Sometimes (every 2-3 months),25-30 years old,Male,Urban
4790047639339008,2017-02-13 06:23:34.57737 UTC,Air Travel,old,False,"1600,770",3277.5037782438517,True,False,True,False,False,False,False,False,True,False,No,3,3,4,3,4,Yes,Often (monthly),Very often (weekly),18-24 years old,Male,Urban
4795020674596864,2017-02-13 09:59:00.98273 UTC,TV Shows,new,False,"1220,612",915.7289315554863,False,False,True,False,False,False,False,False,True,False,Yes,2,2,3,2,2,Yes,Sometimes (every 2-3 months),Often (monthly),18-24 years old,Male,Urban
4799981630259200,2017-02-13 06:53:16.64307 UTC,Air Travel,new,True,"1354,658",992.0154641479091,True,False,True,False,False,False,False,False,True,False,Yes,1,3,2,1,2,Yes,Rarely (less than twice a year),Never,40+ years old,Female,Urban
4809889046069248,2017-02-14 06:23:12.47723 UTC,TV Shows,new,False,"1366,631",4670.932395248343,False,False,True,False,False,False,False,False,True,False,No,2,3,3,1,4,Yes,Never,Sometimes (every 2-3 months),25-30 years old,Male,Urban
4814888656437248,2017-02-13 07:06:26.30289 UTC,TV Shows,new,False,"360,518",0.0,False,False,True,False,False,False,False,False,True,False,No,3,3,3,1,4,Yes,Sometimes (every 2-3 months),Sometimes (every 2-3 months),31-40 years old,Female,Urban
4819823842295808,2017-02-13 14:26:15.21798 UTC,TV Shows,new,False,"1280,594",3176.9445990963195,False,False,True,False,False,False,False,False,True,False,Yes,1,2,4,1,1,Yes,Never,Often (monthly),40+ years old,Female,Urban
4828324387880960,2017-02-13 13:02:39.66688 UTC,Air Travel,new,True,"1920,1076",3013.6138000527667,True,False,True,False,False,False,False,False,True,False,No,4,2,4,4,3,Yes,Very often (weekly),Very often (weekly),25-30 years old,Male,Rural
4831648155697152,2017-02-13 04:37:40.97968 UTC,Air Travel,new,False,"1366,638",9792.811153260955,True,False,True,False,False,False,False,False,True,False,No,5,3,5,4,5,Yes,Rarely (less than twice a year),Sometimes (every 2-3 months),40+ years old,Female,Urban
4838192612114432,2017-02-14 01:03:51.9445 UTC,Air Travel,old,True,"1920,943",1993.563838768366,True,False,True,False,False,False,False,False,True,False,No,3,3,4,3,3,Yes,Sometimes (every 2-3 months),Often (monthly),31-40 years old,Female,Urban
4848037214027776,2017-02-13 12:28:50.66276 UTC,TV Shows,old,False,"1280,934",6297.02346349564,True,False,False,False,False,False,False,False,True,False,No,3,3,3,4,2,Yes,Sometimes (every 2-3 months),Sometimes (every 2-3 months),31-40 years old,Male,Rural
4852998169690112,2017-02-13 21:09:00.83051 UTC,Air Travel,new,False,"1280,542",2624.9101582751146,True,False,True,False,False,False,False,False,True,False,Yes,4,4,1,1,1,Yes,Sometimes (every 2-3 months),Very often (weekly),31-40 years old,Male,Urban
4855880898052096,2017-02-13 22:58:37.08968 UTC,TV Shows,old,False,"1152,635",2666.354231727652,False,False,True,False,False,False,False,False,True,False,No,1,3,3,1,1,No,Never,Often (monthly),40+ years old,Female,Rural
4869738073161728,2017-02-13 20:02:52.87281 UTC,Air Travel,new,True,"1280,591",3090.8205527810933,True,False,True,False,False,False,False,False,False,False,Yes,3,2,3,4,5,Yes,Never,Very often (weekly),25-30 years old,Female,Urban
4871574171680768,2017-02-13 22:57:42.42052 UTC,TV Shows,new,False,"1500,846",2720.1451000982684,True,False,True,False,False,False,False,False,True,False,No,3,2,2,2,3,Yes,Rarely (less than twice a year),Often (monthly),31-40 years old,Male,Urban
4878221707313152,2017-02-14 04:13:21.65187 UTC,Air Travel,new,False,"375,559",0.0,True,False,True,False,False,False,False,False,True,False,What is ad blocking software?,1,2,1,1,3,Yes,Often (monthly),Often (monthly),25-30 years old,Female,Urban
4885657101008896,2017-02-13 06:14:23.80895 UTC,TV Shows,old,True,"1366,638",5250.918022423684,False,False,False,False,False,False,False,False,True,False,Yes,3,3,3,3,2,Yes,Sometimes (every 2-3 months),Often (monthly),25-30 years old,Male,Urban
4888143618637824,2017-02-13 15:52:35.06966 UTC,TV Shows,new,False,"1661,970",4833.572139306674,True,False,True,False,False,False,False,False,True,False,No,1,3,3,1,4,Yes,Sometimes (every 2-3 months),Often (monthly),40+ years old,Male,Rural
4894982280314880,2017-02-13 19:19:12.69463 UTC,TV Shows,old,False,"1366,662",2869.592321580084,False,False,True,False,False,False,False,False,True,False,No,4,3,3,5,4,Yes,Often (monthly),Very often (weekly),18-24 years old,Female,Rural
4916395376640000,2017-02-13 13:14:25.0801 UTC,TV Shows,new,True,"1366,622",1877.1521556987873,True,False,True,False,False,False,False,False,True,False,Yes,1,3,5,1,1,Yes,Sometimes (every 2-3 months),Very often (weekly),40+ years old,Female,Urban
4924590711111680,2017-02-14 02:02:25.51905 UTC,TV Shows,new,False,"414,628",0.0,True,False,True,False,False,False,False,False,True,False,No,1,1,1,1,1,Yes,Rarely (less than twice a year),Very often (weekly),25-30 years old,Female,Urban
4930785127694336,2017-02-14 05:47:25.29351 UTC,TV Shows,new,False,"1600,813",3762.3821699700443,True,False,True,False,False,False,False,False,True,False,Yes,4,3,4,2,4,Yes,Sometimes (every 2-3 months),Often (monthly),25-30 years old,Female,Rural
5026394589364224,2017-02-15 19:19:57.74303 UTC,Food and Drinks,old,False,"1440,780",3648.12256209361,True,False,True,False,False,False,False,False,True,False,Yes,3,4,1,3,2,Yes,Sometimes (every 2-3 months),Sometimes (every 2-3 months),18-24 years old,Male,Urban
5066549580791808,2017-02-13 03:24:35.0378 UTC,Air Travel,new,True,"1366,651",5482.916537631161,True,False,True,False,False,False,False,False,True,False,No,2,3,4,2,3,Yes,Sometimes (every 2-3 months),Often (monthly),40+ years old,Male,Urban
5069036098420736,2017-02-13 03:28:44.95363 UTC,TV Shows,new,True,"1210,699",4582.067056708742,True,False,True,False,False,False,False,False,True,False,Yes,2,3,3,4,3,Yes,Sometimes (every 2-3 months),Often (monthly),31-40 years old,Male,Urban
5071522616049664,2017-02-13 03:27:21.2234 UTC,TV Shows,old,False,"1366,625",5205.987223068222,True,False,True,False,False,False,False,False,True,False,Yes,3,3,3,1,3,Yes,Sometimes (every 2-3 months),Sometimes (every 2-3 months),31-40 years old,Female,Rural
5076495651307520,2017-02-13 02:50:04.18976 UTC,TV Shows,new,True,"1366,691",1911.0078109181422,False,False,False,False,False,False,False,False,True,False,No,1,3,4,1,3,Yes,Rarely (less than twice a year),Very often (weekly),40+ years old,Male,Urban
5079604133888000,2017-02-13 19:27:27.21743 UTC,Air Travel,new,True,"1600,794",2505.6562828475653,True,False,True,False,False,False,False,False,False,False,No,4,3,3,4,4,Yes,Sometimes (every 2-3 months),Very often (weekly),31-40 years old,Female,Urban
5086441721823232,2017-02-13 02:46:04.04797 UTC,Food and Drinks,old,True,"1600,765",688.6091860516668,True,False,True,False,False,False,False,False,False,False,Yes,3,2,2,2,3,Yes,Rarely (less than twice a year),Very often (weekly),31-40 years old,Male,Urban
5088174472691712,2017-02-15 23:33:59.05102 UTC,Air Travel,old,False,"1280,591",1599.1234255486038,True,False,True,False,False,False,False,False,False,False,No,1,1,1,1,1,Yes,Rarely (less than twice a year),Very often (weekly),25-30 years old,Male,Urban
5089836356599808,2017-02-13 04:05:46.36132 UTC,Air Travel,new,False,"1920,950",4590.57208873741,True,False,True,False,False,False,False,False,True,False,Yes,2,1,4,3,2,Yes,Sometimes (every 2-3 months),Often (monthly),18-24 years old,Male,Rural
5091364022779904,2017-02-13 02:50:43.12356 UTC,Food and Drinks,new,False,"1040,498",5773.872790658959,True,False,True,False,False,False,False,False,False,False,Yes,1,1,1,1,1,Yes,Sometimes (every 2-3 months),Often (monthly),40+ years old,Male,Rural
